date,pearson,spearman,gerber
2010-02-01,0.013792256973905778,0.06775716527285625,0.6043094052411586
2010-03-01,0.04965652216274383,0.0977535830280784,0.48786384587159654
2010-04-01,0.014451732833285706,0.031212951103549914,-0.6144569384890934
2010-04-30,0.04802014323617907,0.07369467355171469,0.3861135456227481
2010-06-01,0.13190366912305126,0.15144534755920983,-0.6470237351004418
2010-07-01,-0.004360623537867821,0.001171839407354501,0.18065037242522647
2010-07-30,0.13114454529097253,0.11422860284976318,-0.6101967667469784
2010-09-01,-0.02820205497771799,-0.03662960267059902,0.11559855448854768
2010-09-30,-0.019511506629722862,0.02003805245389874,0.6088894487915922
2010-11-01,0.11583974737662178,0.10856864125588894,-0.12514276390928372
2010-12-01,0.03707018199610542,0.035350139762313305,-0.279185717529658
2010-12-31,-0.08003781874036824,-0.13251187297264264,0.12068723626984385
2011-02-01,0.018119906810769092,0.046774533013265875,0.38493244790474007
2011-03-01,0.06826623253221648,0.039058932159813375,0.053084997320894854
2011-04-01,0.046052111793308315,0.054754237449271125,-0.4625980097891983
2011-04-29,0.00573026180676405,0.01392987654429533,-0.4668624556333825
2011-06-01,-0.0008585941169454762,0.014104504570466159,-0.11247593283127391
2011-07-01,0.020922839315934028,-0.007913531535371962,-0.38968841857730746
2011-08-01,0.060460084180030085,0.06469543003985746,-0.5057907185384553
2011-09-01,0.00890854249339828,0.004950284763333396,-0.4836266711795566
2011-09-30,0.07517239702292824,0.07637039479735891,0.38573364042812625
2011-11-01,0.07968045007817724,0.10870106232623591,-0.10839125935229844
2011-12-01,-0.0257901789001122,-0.033125742909879546,-0.2206927697240663
2011-12-30,-0.07814659242479012,-0.09758893112066176,-0.04947696595345698
2012-02-01,0.09338467340529565,0.05756425706821658,-0.04893074517312318
2012-03-01,0.1618170416056012,0.149075866362249,-0.35874776984834966
2012-03-30,0.12628493704459962,0.12681315556408906,0.3623994287540985
2012-04-27,0.10103958919797679,0.14543018649868752,0.042527769172899056
2012-06-01,0.06788978321241294,0.08131496555410857,-0.11026228673287497
2012-06-29,0.04191450638999144,0.05066459088526539,0.3917416127875304
2012-08-01,0.07323435316878704,0.02096113118196026,0.17180770710772575
2012-08-31,0.037025354745167084,0.11691551999904372,0.07496144462920856
2012-09-28,0.017440526272051584,0.08933692087605008,-0.1103030303030303
2012-11-01,-0.019378985470641468,-0.021041254300055417,-0.013594338357907413
2012-11-30,0.03764826724276851,0.06079540149446428,-0.5251096054204862
2012-12-31,0.12886531464913942,0.14325488475872067,-0.46938850439667357
2013-02-01,0.054347743480393736,-0.02885825360799042,-0.6894366351615097
2013-03-01,0.12884087647626566,0.14254633375377407,0.2266902899156597
2013-04-01,0.1071327153783076,0.09890618343564098,0.14141485390774242
2013-04-26,0.06087277766501152,0.09514688824069298,-0.26859011372480107
2013-05-31,0.003985400820523853,0.02159436740147948,0.038826665201336694
2013-07-01,0.062320281459091915,0.04935357574671894,-0.370734567723903
2013-08-01,-0.004553039807283965,-0.026985618498108196,-0.2630026309941143
2013-08-30,0.05636203909918292,0.06671122267675887,-0.08703824620835003
2013-09-30,0.03495831689285493,0.02311306594515174,-0.07193371251405552
2013-11-01,0.09568073425835744,0.08117825925966685,0.44413180578185807
2013-11-29,0.05943272998461724,0.06682400903021718,-0.04291459827174113
2013-12-31,0.055042579083373816,0.039949623278243446,0.07188461715125626
2014-01-30,0.09010954153902016,0.11809427717657563,0.18140799130198423
2014-02-28,0.08360114065277259,0.058038015865916205,-0.0343135951759576
2014-04-01,0.07209407183677925,0.08415370600583426,-0.2991533930566867
2014-04-30,0.14903054952604106,0.14442595837258146,0.2757247702472935
2014-05-30,0.1307980268996415,0.14153127693155476,0.3481900738487385
2014-07-01,0.22136799320238068,0.12673340274576333,-0.20789081212997695
2014-08-01,0.27127137837275256,0.15155732180087483,0.43303299003139284
2014-09-01,0.2374644091659484,0.19004226410840586,0.37127121100631033
2014-09-30,0.1616256711954561,0.08274457077843299,0.036320111129107976
2014-10-31,0.18080749903079107,0.0227739263072044,0.375561319118778
2014-12-01,-0.1723458052473463,-0.26490971838458566,-0.31442358648241003
2014-12-31,0.2949026462475623,0.23867473433538766,0.6759819549771447
2015-01-30,0.17540796031146796,0.017972459348449737,0.778812721298925
2015-02-27,0.1088820201604051,0.05895128748193809,0.8248869310466497
2015-04-01,0.20194327139986812,0.09137970311223205,0.7966305477703653
2015-04-30,0.4860759862254908,0.16719435527052043,0.8948509485094851
2015-06-01,0.4350945341969572,0.18534981183709698,-0.8058350100603622
2015-07-01,0.44276262102289593,0.11081444175585442,-0.7278642466614184
2015-07-31,0.1461725375827119,0.010288170935278828,-0.9147587276339879
2015-09-01,0.04475777692478405,0.04273545005553525,-0.1567153051443178
2015-09-30,0.016413591639608895,0.005798160019639296,0.057107681015152116
2015-10-30,0.03648784783058331,0.030605557272431416,0.3784448171754445
2015-12-01,0.2015390037401565,0.15221745281166546,0.6044491892843694
2015-12-31,0.3069655890537036,0.08503306863777686,-0.8065558679941746
2016-02-01,0.0005717861849693412,-0.0145972877443179,0.09032995554908703
2016-03-01,0.23428296476313634,0.2790560023692169,0.7080147264286449
2016-04-01,0.2387149787310619,0.15671975614829098,-0.07830857809146997
2016-04-29,0.3356267742744733,0.0383932059726133,-0.15239308787695885
2016-06-01,0.5248025526310119,0.0569257377319359,0.004404163490783608
2016-07-01,0.418493720341046,0.16772865955424918,-0.05624710291964305
2016-08-01,0.32520364649331057,0.15539741201157886,0.6809626975865992
2016-09-01,0.5016672806838967,0.1619551828320105,0.013192363009562707
